txn_id,date,product,amount
R-3001,2026-03-17,모니터암,(61.58)
R-3002,2026-02-16,모니터암,(82.74)
R-3003,2026-02-18,Webcam Pro,(156.13)
R-3004,2026-02-14,USB-C 허브,(12.345)
R-3005,2026-02-28,모니터암,(22.66)
R-3006,2026-03-06,게이밍 마우스,(90.13)
R-3007,2026-01-12,무선 키보드,(198.66)
R-3008,2026-02-01,게이밍 마우스,(58.15)
R-3009,2026-02-27,노트북 스탠드,"(1,050.00)"
R-3010,2026-02-07,노트북 스탠드,(167.58)
R-3011,2026-01-30,무선 키보드,(77.96)
R-3012,2026-03-09,Webcam Pro,(173.37)
R-3013,2026-01-26,무선 키보드,(76.27)
R-3014,2026-03-13,모니터암,(198.11)
R-3015,2026-03-22,노트북 스탠드,(77.74)
