timestamp,error_count,request_count
2026-07-22T13:00:00Z,0,1900
2026-07-22T13:01:00Z,3,1937
2026-07-22T13:02:00Z,2,1974
2026-07-22T13:03:00Z,1,2011
2026-07-22T13:04:00Z,0,2048
2026-07-22T13:05:00Z,3,1905
2026-07-22T13:06:00Z,2,1942
2026-07-22T13:07:00Z,1,1979
2026-07-22T13:08:00Z,0,2016
2026-07-22T13:09:00Z,3,2053
2026-07-22T13:10:00Z,2,1910
2026-07-22T13:11:00Z,1,1947
2026-07-22T13:12:00Z,0,1984
2026-07-22T13:13:00Z,3,2021
2026-07-22T13:14:00Z,2,2058
2026-07-22T13:15:00Z,1,1915
2026-07-22T13:16:00Z,0,1952
2026-07-22T13:17:00Z,3,1989
2026-07-22T13:18:00Z,2,2026
2026-07-22T13:19:00Z,1,2063
2026-07-22T13:20:00Z,0,1920
2026-07-22T13:21:00Z,42,1957
2026-07-22T13:22:00Z,55,1994
2026-07-22T13:23:00Z,65,2031
2026-07-22T13:24:00Z,58,2068
2026-07-22T13:25:00Z,51,1925
2026-07-22T13:26:00Z,2,1962
2026-07-22T13:27:00Z,1,1999
2026-07-22T13:28:00Z,0,2036
2026-07-22T13:29:00Z,3,2073
2026-07-22T13:30:00Z,2,1930
2026-07-22T13:31:00Z,1,1967
2026-07-22T13:32:00Z,0,2004
2026-07-22T13:33:00Z,3,2041
2026-07-22T13:34:00Z,2,2078
2026-07-22T13:35:00Z,1,1935
2026-07-22T13:36:00Z,0,1972
2026-07-22T13:37:00Z,3,2009
2026-07-22T13:38:00Z,2,2046
2026-07-22T13:39:00Z,1,1903
2026-07-22T13:40:00Z,0,1940
2026-07-22T13:41:00Z,3,1977
2026-07-22T13:42:00Z,2,2014
2026-07-22T13:43:00Z,1,2051
2026-07-22T13:44:00Z,0,1908
2026-07-22T13:45:00Z,3,1945
2026-07-22T13:46:00Z,2,1982
2026-07-22T13:47:00Z,1,2019
2026-07-22T13:48:00Z,0,2056
2026-07-22T13:49:00Z,3,1913
2026-07-22T13:50:00Z,2,1950
2026-07-22T13:51:00Z,1,1987
2026-07-22T13:52:00Z,0,2024
2026-07-22T13:53:00Z,3,2061
2026-07-22T13:54:00Z,2,1918
2026-07-22T13:55:00Z,1,1955
2026-07-22T13:56:00Z,0,1992
2026-07-22T13:57:00Z,3,2029
2026-07-22T13:58:00Z,2,2066
2026-07-22T13:59:00Z,1,1923
2026-07-22T14:00:00Z,0,1960
2026-07-22T14:01:00Z,3,1997
2026-07-22T14:02:00Z,2,2034
2026-07-22T14:03:00Z,1,2071
2026-07-22T14:04:00Z,0,1928
2026-07-22T14:05:00Z,6,1965
2026-07-22T14:06:00Z,23,2002
2026-07-22T14:07:00Z,58,2039
2026-07-22T14:08:00Z,84,2076
2026-07-22T14:09:00Z,121,1933
2026-07-22T14:10:00Z,160,1970
2026-07-22T14:11:00Z,203,2007
2026-07-22T14:12:00Z,259,2044
2026-07-22T14:13:00Z,301,1901
2026-07-22T14:14:00Z,344,1938
2026-07-22T14:15:00Z,380,1975
2026-07-22T14:16:00Z,402,2012
2026-07-22T14:17:00Z,396,2049
2026-07-22T14:18:00Z,371,1906
2026-07-22T14:19:00Z,355,1943
2026-07-22T14:20:00Z,340,1980
2026-07-22T14:21:00Z,322,2017
2026-07-22T14:22:00Z,305,2054
2026-07-22T14:23:00Z,298,1911
2026-07-22T14:24:00Z,310,1948
2026-07-22T14:25:00Z,287,1985
2026-07-22T14:26:00Z,265,2022
2026-07-22T14:27:00Z,240,2059
2026-07-22T14:28:00Z,212,1916
2026-07-22T14:29:00Z,188,1953
2026-07-22T14:30:00Z,161,1990
2026-07-22T14:31:00Z,142,2027
2026-07-22T14:32:00Z,118,2064
2026-07-22T14:33:00Z,95,1921
2026-07-22T14:34:00Z,82,1958
2026-07-22T14:35:00Z,74,1995
2026-07-22T14:36:00Z,66,2032
2026-07-22T14:37:00Z,57,2069
2026-07-22T14:38:00Z,52,1926
2026-07-22T14:39:00Z,12,1963
2026-07-22T14:40:00Z,0,2000
2026-07-22T14:41:00Z,3,2037
2026-07-22T14:42:00Z,2,2074
2026-07-22T14:43:00Z,1,1931
2026-07-22T14:44:00Z,0,1968
2026-07-22T14:45:00Z,3,2005
2026-07-22T14:46:00Z,2,2042
2026-07-22T14:47:00Z,1,2079
2026-07-22T14:48:00Z,0,1936
2026-07-22T14:49:00Z,3,1973
2026-07-22T14:50:00Z,2,2010
2026-07-22T14:51:00Z,1,2047
2026-07-22T14:52:00Z,0,1904
2026-07-22T14:53:00Z,3,1941
2026-07-22T14:54:00Z,2,1978
2026-07-22T14:55:00Z,1,2015
2026-07-22T14:56:00Z,0,2052
2026-07-22T14:57:00Z,3,1909
2026-07-22T14:58:00Z,2,1946
2026-07-22T14:59:00Z,1,1983
2026-07-22T15:00:00Z,0,2020
2026-07-22T15:01:00Z,3,2057
2026-07-22T15:02:00Z,2,1914
2026-07-22T15:03:00Z,1,1951
2026-07-22T15:04:00Z,0,1988
2026-07-22T15:05:00Z,3,2025
2026-07-22T15:06:00Z,2,2062
2026-07-22T15:07:00Z,1,1919
2026-07-22T15:08:00Z,0,1956
2026-07-22T15:09:00Z,3,1993
