txn_id,date,product,amount
L-2001,16/01/2026,게이밍 마우스,698.89
L-2002,13/11/2025,USB-C 허브,839.34
L-2003,25/02/2026,Webcam Pro,35.23
L-2004,28/01/2026,무선 키보드,50.10
L-2005,04/12/2025,모니터암,"1,234.50"
L-2006,24/11/2025,노트북 스탠드,508.57
L-2007,14/02/2026,무선 키보드,876.48
L-2008,30/12/2025,USB-C 허브,359.30
L-2009,20/12/2025,게이밍 마우스,895.44
L-2010,05/01/2026,노트북 스탠드,219.26
L-2011,26/02/2026,USB-C 허브,"2,048.005"
L-2012,14/02/2026,USB-C 허브,205.49
L-2013,03/11/2025,게이밍 마우스,267.77
L-2014,05/02/2026,무선 키보드,117.97
L-2015,13/01/2026,USB-C 허브,338.94
L-2016,20/11/2025,노트북 스탠드,35.49
L-2017,23/01/2026,게이밍 마우스,369.34
L-2018,29/12/2025,모니터암,196.73
L-2019,03/11/2025,노트북 스탠드,519.345
L-2020,01/02/2026,모니터암,715.05
L-2021,14/02/2026,USB-C 허브,414.74
L-2022,30/11/2025,무선 키보드,464.86
L-2023,22/12/2025,USB-C 허브,646.66
L-2024,17/11/2025,게이밍 마우스,301.87
L-2025,14/12/2025,무선 키보드,357.12
L-2026,07/02/2026,노트북 스탠드,486.66
L-2027,17/01/2026,USB-C 허브,"1,780.25"
L-2028,24/11/2025,무선 키보드,543.13
L-2029,06/02/2026,모니터암,890.68
L-2030,19/02/2026,게이밍 마우스,297.45
L-2031,08/12/2025,게이밍 마우스,496.99
L-2032,23/02/2026,노트북 스탠드,503.58
L-2033,19/12/2025,게이밍 마우스,226.21
S-1003,24/03/2026,노트북 스탠드,53.07
S-1010,04/02/2026,USB-C 허브,150.00
S-1012,29/01/2026,무선 키보드,229.04
S-1017,01/03/2026,게이밍 마우스,99.90
S-1021,02/03/2026,노트북 스탠드,845.44
S-1030,06/02/2026,Webcam Pro,35.08
S-1038,09/02/2026,USB-C 허브,459.21
