txn_id,date,description,amount,type
T-0073,2026-04-05,환급,689.67,debit
T-0011,2026-04-08,사무용품,629.68,credit
T-0004,2026-04-10,장비 구매,1234.56,credit
T-0031,2026-04-12,이자 입금,9377.13,debit
T-0070,2026-04-12,이자 입금,7428.13,debit
T-0065,2026-04-14,고객 입금,9297.51,debit
T-0047,2026-04-17,이자 입금,3782.24,debit
T-0003,2026-04-19,이자 입금,7097.42,debit
T-0018,2026-04-19,수수료,3332.35,credit
T-0035,2026-04-19,사무용품,4742.19,credit
T-0059,2026-04-20,구독료,1507.16,credit
T-0048,2026-04-21,고객 입금,7804.53,debit
T-0064,2026-04-21,이자 입금,876.92,debit
T-0028,2026-04-25,고객 입금,1899.00,debit
T-0039,2026-04-26,고객 입금,5906.40,debit
T-0013,2026-04-27,고객 입금,6268.34,debit
T-0071,2026-04-28,환급,1704.60,debit
T-0046,2026-04-29,환급,1139.57,debit
T-0001,2026-05-01,이자 입금,7102.07,debit
T-0005,2026-05-01,사무용품,373.17,credit
T-0041,2026-05-02,사무용품,1074.10,credit
T-0044,2026-05-02,이자 입금,8574.28,debit
T-0036,2026-05-05,이자 입금,6431.36,debit
T-0014,2026-05-07,급여 이체,573.53,credit
T-0010,2026-05-11,클라우드 요금,450.25,credit
T-0020,2026-05-12,고객 입금,6409.92,debit
T-0032,2026-05-12,고객 입금,7717.94,debit
T-0051,2026-05-12,이자 입금,3459.95,debit
T-0055,2026-05-13,수수료,7160.11,credit
T-0063,2026-05-14,장비 구매,5239.57,credit
T-0027,2026-05-17,급여 이체,8871.17,credit
T-0002,2026-05-18,환급,1073.67,debit
T-0060,2026-05-18,이자 입금,6521.51,debit
T-0021,2026-05-19,수수료,9672.49,credit
T-0026,2026-05-19,클라우드 요금,2473.10,credit
T-0006,2026-05-21,장비 구매,75.82,credit
T-0045,2026-05-21,클라우드 요금,131.76,credit
T-0043,2026-05-23,클라우드 요금,4768.29,credit
T-0050,2026-05-23,장비 구매,6303.54,credit
T-0037,2026-05-24,환급,2050.00,debit
T-0023,2026-05-26,사무용품,6467.41,credit
T-0015,2026-05-27,고객 입금,1924.05,debit
T-0057,2026-05-27,수수료,3826.61,credit
T-0067,2026-05-29,장비 구매,3321.93,credit
T-0030,2026-06-01,환급,1298.06,debit
T-0042,2026-06-02,급여 이체,2212.17,credit
T-0012,2026-06-04,환급,310.10,debit
T-0052,2026-06-07,환급,1531.72,debit
T-0062,2026-06-07,구독료,5225.51,credit
T-0072,2026-06-07,환급,1615.89,debit
T-0049,2026-06-08,고객 입금,892.12,debit
T-0056,2026-06-08,구독료,4614.12,credit
T-0016,2026-06-09,이자 입금,710.48,debit
T-0061,2026-06-09,구독료,57.00,credit
T-0022,2026-06-10,구독료,4137.30,credit
T-0068,2026-06-10,환급,6100.20,debit
T-0017,2026-06-12,사무용품,9834.31,credit
T-0009,2026-06-15,고객 입금,2944.65,debit
T-0024,2026-06-15,이자 입금,2008.44,debit
T-0008,2026-06-16,수수료,1742.29,credit
T-0053,2026-06-16,구독료,12.40,credit
T-0025,2026-06-17,환급,2746.69,debit
T-0040,2026-06-17,환급,4139.24,debit
T-0066,2026-06-17,고객 입금,88.88,debit
T-0034,2026-06-18,고객 입금,3761.08,debit
T-0038,2026-06-20,수수료,9639.77,credit
T-0069,2026-06-23,이자 입금,7514.51,debit
T-0054,2026-06-24,구독료,5863.96,credit
T-0029,2026-06-25,구독료,1547.72,credit
