txn_id,date,product,amount
S-1001,2026-02-17,USB-C 허브,549.80
S-1002,2026-02-16,무선 키보드,793.66
S-1003,2026-03-24,노트북 스탠드,53.07
S-1004,2026-03-02,USB-C 허브,559.36
S-1005,2026-03-01,노트북 스탠드,354.03
S-1006,2026-01-07,게이밍 마우스,438.11
S-1007,2026-01-23,모니터암,291.92
S-1008,2026-03-11,Webcam Pro,157.53
S-1009,2026-01-16,USB-C 허브,66.51
S-1010,2026-03-05,USB-C 허브,120.00
S-1011,2026-02-24,Webcam Pro,307.52
S-1012,2026-01-29,무선 키보드,229.04
S-1013,2026-03-13,모니터암,307.35
S-1014,2026-03-09,게이밍 마우스,249.08
S-1015,2026-01-28,모니터암,198.71
S-1016,2026-02-27,게이밍 마우스,364.89
S-1017,2026-01-20,게이밍 마우스,89.90
S-1018,2026-02-04,Webcam Pro,651.58
S-1019,2026-01-08,무선 키보드,487.18
S-1020,2026-02-18,Webcam Pro,595.88
S-1021,2026-03-02,노트북 스탠드,845.44
S-1022,2026-03-10,게이밍 마우스,219.93
S-1023,2026-01-12,게이밍 마우스,385.57
S-1024,2026-01-28,무선 키보드,408.64
S-1025,2026-02-01,게이밍 마우스,663.36
S-1026,2026-03-05,무선 키보드,498.00
S-1027,2026-03-03,노트북 스탠드,398.90
S-1028,2026-01-20,모니터암,300.38
S-1029,2026-03-09,USB-C 허브,245.30
S-1030,2026-02-06,Webcam Pro,35.08
S-1031,2026-02-04,USB-C 허브,254.71
S-1032,2026-03-09,게이밍 마우스,869.96
S-1033,2026-03-25,Webcam Pro,282.37
S-1034,2026-02-17,USB-C 허브,588.26
S-1035,2026-02-09,USB-C 허브,814.86
S-1036,2026-01-17,USB-C 허브,859.14
S-1037,2026-02-27,무선 키보드,766.12
S-1038,2026-02-09,USB-C 허브,459.21
S-1039,2026-03-24,모니터암,66.72
S-1040,2026-03-14,모니터암,686.03
S-1041,2026-01-30,게이밍 마우스,416.33
S-1042,2026-03-01,Webcam Pro,280.08
S-1043,2026-01-08,무선 키보드,893.54
S-1044,2026-01-09,Webcam Pro,448.84
S-1045,2026-02-15,Webcam Pro,331.81
